title,type,premiere_date,tmdb_id,original_language,production_countries,runtime_min,genres_tmdb,cast_popularity_max,cast_popularity_mean,crew_popularity_max,is_ip_adaptation,episode_count_s1,episode_runtime_avg_s1,release_cadence,imdb_id,keywords,has_keywords,wiki_views_28d,wiki_has_views,wiki_views_28d_log,imdb_rating_used,imdb_rating_source,imdb_votes_used,tmdb_vote_average,tmdb_vote_count,tmdb_popularity,weeks_top10_global,ever_top10_global,best_rank_global,total_hours_top10_global,total_views_top10_global,first28d_weeks_global,first28d_hours_global,first28d_views_global
Pop the Balloon Live,series,2025-04-10,287503,en,,,Reality,0.8172,0.817,0.0286,0,8,47.5,weekly,tt36353565,"balloon, single man, single woman, speed dating",1,,0,,6.14,s1,72,10,1,0.2494,0,0,0,0,0,0,0,0
Too Hot to Handle: Germany,series,2023-02-28,219053,de,,,Reality,0.5323,0.151,0.0256,0,10,46.1,binge,tt21092364,"too hot to handle, germany, fremantle media, ufa show & factual, fictional tv reality show",1,,0,,5.07,s1,346,6.109,23,2.275,2,1,7,24240000,0,2,24240000,0
Love Is Blind: UK,series,2024-08-07,237316,en,,,Reality,1.2128,0.9,0.0214,0,12,58.8,hybrid,tt26675358,"dating and romance reality tv, dating, love, friend, single",1,55655,1,10.92694517,6.87,s1,451,6.4,13,2.4687,6,1,4,134000000,17800000,4,100300000,12200000
Rhythm + Flow: Brazil,series,2024-11-12,271200,pt,,,Reality,0.089,0.052,0.0143,0,6,52,binge,tt31974344,"competition reality tv, rap music, competition, prize, rap",1,,0,,7.8,series,0,6,1,0.5091,0,0,0,0,0,0,0,0
Love Is Blind: Germany,series,2025-01-03,253030,de,,,Reality,0.1284,0.089,0.0071,0,10,49.3,hybrid,tt27719131,"dating and romance reality tv, germany, dating, love, single",1,,0,,5.21,s1,203,4.5,6,1.3433,1,1,9,4600000,1300000,1,4600000,1300000
Outer Banks,series,2020-04-15,100757,en,,,"Action & Adventure,Drama,Mystery",4.3276,1.898,0,0,10,50.7,binge,tt10293938,"treasure, treasure map, treasure hunt, coming of age, young",1,1158172,1,13.96235432,7.9,s1,21191,8.314,1112,13.2465,32,1,1,1275610000,51800000,0,0,0
Better Late Than Single,series,2025-07-08,288912,ko,,,Reality,3.2999,1.713,0,0,10,78.2,hybrid,tt35668156,"single, feel good romance, dating and romance reality tv, dating, love",1,,0,,8,s1,190,8.2,12,2.9791,2,1,10,16800000,3000000,2,16800000,3000000
Kian's Bizarre B&B,series,2025-04-08,256355,ko,,,Reality,2.2268,1.512,0,0,9,60.6,hybrid,tt33047061,"visit, island, variety show, variety, guesthouse",1,,0,,9.57,s1,1635,8.2,6,2.8879,2,1,6,15200000,3400000,2,15200000,3400000
Gabby's Dollhouse,series,2021-01-05,111474,en,,,"Kids,Comedy,Animation",1.7767,0.877,0,0,10,24,binge,tt9165438,"education, educational, child, girl, exploration",1,,0,,8,s1,191,7.912,85,12.2321,10,1,3,75150000,20500000,0,0,0
Survival of the Thickest,series,2023-07-13,227139,en,,,"Comedy,Drama",1.4492,0.97,0,0,8,27,binge,tt17361756,"lgbtq, life, single, quirky comedy, black",1,121741,1,11.70965933,7.68,s1,1116,6.7,37,2.7238,3,1,4,35000000,9700000,3,35000000,9700000
Unseen,series,2023-03-29,220932,en,,,"Crime,Drama",0.7189,0.28,0,0,6,44,binge,tt26931883,"murder, female nudity, female rear nudity, crime syndicate, missing husband",1,,0,,6.67,s1,352,6.7,42,2.0776,4,1,4,59900000,4000000,2,41900000,0
Selling Sunset,series,2019-03-22,87826,en,,,Reality,0.5014,0.232,0,0,8,32,binge,tt9817298,"house flipping, female real estate agent, lady, group, trip",1,,0,,6.2,s1,1103,6.5,56,10.7877,16,1,2,352980000,19000000,0,0,0
Kings of Jo'Burg,series,2020-12-04,114187,en,,,Crime,0.3446,0.118,0,0,6,53.7,binge,tt13453828,"organized crime, family relationships, johannesburg, south africa",1,,0,,6.93,s1,159,7.03,33,1.7255,0,0,0,0,0,0,0,0
Stranded with My Mother-in-Law,series,2023-10-09,224330,pt,,,Reality,0.1143,0.114,0,0,8,52.8,binge,tt27494436,"island, daughter, mother, law, couple",1,2915,1,7.977968093,7.96,s1,160,7.4,10,0.9256,3,1,5,23400000,5000000,2,17900000,3400000
"Young, Famous & African",series,2022-03-18,157717,en,,,Reality,0.0842,0.035,0,0,7,42.9,binge,tt15302054,"love, social media, personnel personalities, fashion, docusoap reality tv",1,,0,,7.17,s1,138,7.2,17,1.2478,0,0,0,0,0,0,0,0
Dubai Bling,series,2022-10-27,213272,ar,,,Reality,0.0398,0.021,0,0,8,46.5,binge,tt22071840,"city name in title, city in title, city, life, culture",1,,0,,4.7,s1,451,6.2,19,1.122,7,1,2,92240000,6200000,4,48740000,0
Offline Love,series,2025-02-18,282651,ja,,,Reality,2.348,0.997,,0,10,59.6,binge,tt35510210,"love, lifestyle reality tv, soulmate, dating and romance reality tv, dating",1,,0,,7.21,s1,91,8.8,5,1.825,0,0,0,0,0,0,0,0
Love Village,series,2023-05-02,224740,ja,,,Reality,2.2979,1.695,,0,18,29.4,hybrid,tt19106798,"dating, house, life, love, village",1,,0,,6.7,s1,9,7.667,3,3.181,0,0,0,0,0,0,0,0
Hitmakers,series,2025-07-24,37995,en,,,Reality,1.8979,1.34,,0,6,38.5,binge,tt37438632,"hip-hop, music",1,39370,1,10.58078478,7.7,s1,8,10,1,1.0873,0,0,0,0,0,0,0,0
Cheat: Unfinished Business,series,2025-04-30,289458,en,,,Reality,1.1244,0.605,,0,9,44.8,binge,tt32249973,,0,,0,,6.3,s1,80,10,1,0.4753,0,0,0,0,0,0,0,0
